"Player","Pos","Team","Penalty Ct","Yds","Declined","Offsetting","Total Flags","Pre-Snap","Ct/Game","Yds/Game","% of Team","Penalties"
"I.Simmons","LB","Arizona",4,50,0,1,5,0,0.25,3.13,4.42,"Lowering the Head to Initiate Contact (2), Unnecessary Roughness (1), Illegal Contact (1), Horse Collar Tackle (1)"
"J.Gladney","CB","Minnesota",4,32,1,0,5,0,0.25,2,6.1,"Defensive Pass Interference (2), Illegal Contact (1), Illegal Use of Hands (1), Lowering the Head to Initiate Contact (1)"
"D.Roberts","CB","Detroit",4,21,1,0,5,0,0.25,1.31,5.21,"Defensive Holding (3), Defensive Pass Interference (2)"
"G.Glasgow","G","Denver",4,22,1,0,5,2,0.25,1.38,6.1,"False Start (2), Offensive Holding (2), Illegal Block Above the Waist (1)"
"B.Hall","CB","N.Y. Jets",4,30,1,0,5,0,0.25,1.88,4.95,"Defensive Holding (3), Defensive Pass Interference (2)"
"J.Kinlaw","DT","San Francisco",4,20,1,0,5,5,0.25,1.25,5.88,"Defensive Offside (3), Neutral Zone Infraction (2)"
"J.Kelce","C","Philadelphia",4,35,0,0,4,1,0.25,2.19,3.74,"Offensive Holding (2), False Start (1), Face Mask (15 Yards) (1)"
"B.Graham","DE","Philadelphia",4,29,0,0,4,3,0.25,1.81,3.74,"Neutral Zone Infraction (3), Face Mask (15 Yards) (1)"
"H.Smith","DB","Minnesota",4,49,0,0,4,0,0.25,3.06,4.88,"Lowering the Head to Initiate Contact (2), Unnecessary Roughness (1), Disqualification (1)"
"I.Seumalo","G","Philadelphia",4,25,0,0,4,3,0.25,1.56,3.74,"False Start (3), Offensive Holding (1)"
"N.Martin","C","Houston",4,45,0,0,4,0,0.25,2.81,5,"Offensive Holding (3), Unnecessary Roughness (1)"
"F.Oluokun","LB","Atlanta",4,48,0,0,4,1,0.25,3,4.82,"Defensive Pass Interference (2), Unnecessary Roughness (1), Neutral Zone Infraction (1)"
"D.Jackson","CB","Carolina",4,37,0,0,4,1,0.25,2.31,4.21,"Defensive Pass Interference (2), Defensive Offside (1), Defensive Holding (1)"
"B.Price","C","Cincinnati",4,30,0,0,4,2,0.25,1.88,4.76,"False Start (2), Offensive Holding (2)"
"F.Fatukasi","DT","N.Y. Jets",4,60,0,0,4,0,0.25,3.75,3.96,"Roughing the Passer (4)"
"S.Means","LB","Atlanta",4,20,0,0,4,4,0.25,1.25,4.82,"Defensive Offside (2), Neutral Zone Infraction (2)"
"N.Fant","TE","Denver",4,30,0,0,4,2,0.25,1.88,4.88,"False Start (2), Offensive Holding (2)"
"N.Jamerson","CB","Carolina",4,26,0,0,4,2,0.25,1.63,4.21,"Offensive Holding (2), Defensive Offside (2)"
"K.Murray","QB","Arizona",4,45,0,0,4,0,0.25,2.81,3.54,"Intentional Grounding (4)"
"R.Griffin","TE","N.Y. Jets",4,35,0,0,4,1,0.25,2.19,3.96,"Offensive Pass Interference (2), False Start (1), Offensive Holding (1)"
"J.Bethel","DB","New England",4,29,0,0,4,1,0.25,1.81,6.45,"Offensive Holding (3), Defensive Offside (1)"
"N.Harry","WR","New England",4,30,0,0,4,0,0.25,1.88,6.45,"Offensive Holding (2), Offensive Pass Interference (1), Illegal Block Above the Waist (1)"
"J.Mailata","T","Philadelphia",4,25,0,0,4,3,0.25,1.56,3.74,"False Start (3), Offensive Holding (1)"
"A.Bryant","LB","Detroit",4,20,0,0,4,3,0.25,1.25,4.17,"Neutral Zone Infraction (2), Defensive Offside (1), Defensive Holding (1)"
"J.Guyton","WR","LA Chargers",4,35,0,0,4,1,0.25,2.19,4.71,"Offensive Pass Interference (3), False Start (1)"
"T.Cannon","RB","Carolina",4,52,0,0,4,0,0.25,3.25,4.21,"Unnecessary Roughness (2), Illegal Block Above the Waist (1), Player Out of Bounds on Kick (1)"
"C.Lamb","WR","Dallas",4,40,0,0,4,1,0.25,2.5,4.17,"Illegal Block Above the Waist (2), False Start (1), Illegal Blindside Block (1)"
"M.Ojemudia","CB","Denver",4,66,0,0,4,0,0.25,4.13,4.88,"Defensive Pass Interference (2), Disqualification (1), Illegal Blindside Block (1)"
"S.Kindley","G","Miami",4,30,0,0,4,2,0.25,1.88,5.41,"False Start (2), Offensive Holding (2)"
"M.Hennessy","OL","Atlanta",4,35,0,0,4,1,0.25,2.19,4.82,"Offensive Holding (3), False Start (1)"
"J.Kearse","DB","Detroit",4,40,0,0,4,0,0.25,2.5,4.17,"Defensive Holding (2), Unnecessary Roughness (1), Horse Collar Tackle (1)"
"X.Rhodes","CB","Indianapolis",4,53,2,0,6,0,0.24,3.12,6.25,"Defensive Pass Interference (2), Defensive Holding (2), Unnecessary Roughness (1), Illegal Contact (1)"
"A.Villanueva","T","Pittsburgh",4,25,0,1,5,1,0.24,1.47,5.88,"Ineligible Downfield Pass (2), Offensive Holding (2), False Start (1)"
"R.Wilson","QB","Seattle",4,37,0,0,4,0,0.24,2.18,4.3,"Intentional Grounding (3), Illegal Forward Pass (1)"
"T.Lockett","WR","Seattle",4,25,0,0,4,3,0.24,1.47,4.3,"False Start (3), Illegal Blindside Block (1)"
"J.Haden","CB","Pittsburgh",4,47,0,0,4,0,0.24,2.76,4.71,"Defensive Pass Interference (3), Illegal Contact (1)"
