"Player","team","pos","base"
"Jason Myers","SEA","K","$2,600,000"
"Marshon Lattimore","NO","CB","$2,559,486"
"Trey Hopkins","CIN","C","$2,550,000"
"Zach Fulton","HOU","G","$2,500,000"
"Brandon Dunn","HOU","DE","$2,500,000"
"Terrance Mitchell","CLE","CB","$2,500,000"
"Joe Schobert","JAC","ILB","$2,500,000"
"Graham Glasgow","DEN","G","$2,500,000"
"Bruce Irvin","SEA","DE","$2,500,000"
"Kevin Huber","CIN","P","$2,500,000"
"Arik Armstead","SF","DE","$2,500,000"
"Jimmy Smith","BAL","CB","$2,500,000"
"Jarrod Wilson","JAC","FS","$2,450,000"
"Dustin Hopkins","WAS","K","$2,400,000"
"Erik Harris","LV","SS","$2,350,000"
"Harrison Butker","KC","K","$2,345,000"
"Spencer Pulley","NYG","C","$2,325,000"
"Haason Reddick","ARI","ILB","$2,302,904"
"Joe Looney","DAL","C","$2,300,000"
"Austin Reiter","KC","C","$2,275,000"
"Chris Conley","JAC","WR","$2,275,000"
"Derek Wolfe","BAL","DT","$2,250,000"
"Cameron Jordan","NO","DE","$2,250,000"
"Kendall Lamm","CLE","RT","$2,250,000"
"Devin McCourty","NE","FS","$2,250,000"
"Stephen Weatherly","CAR","DE","$2,250,000"
"Ricky Wagner","GB","RT","$2,250,000"
"Mackensie Alexander","CIN","CB","$2,250,000"
"Blake Jarwin","DAL","TE","$2,250,000"
"Derek Barnett","PHI","DE","$2,217,378"
"A.J. Klein","BUF","OLB","$2,200,000"
"Billy Turner","GB","G","$2,200,000"
"Malik Hooker","IND","FS","$2,183,169"
"Eric Rowe","MIA","SS","$2,175,000"
"Ronald Blair","SF","DE","$2,160,000"
"Demarcus Robinson","KC","WR","$2,160,000"
"K'Waun Williams","SF","CB","$2,150,000"
"Chris Hubbard","CLE","LT","$2,150,000"
"Grover Stewart","IND","DT","$2,133,000"
"Marlon Mack","IND","RB","$2,133,000"
"Anthony Walker Jr.","IND","ILB","$2,133,000"
"Ahkello Witherspoon","SF","CB","$2,133,000"
"Al-Quadin Muhammad","IND","DE","$2,133,000"
"Matt Skura","BAL","C","$2,133,000"
"Kenny Golladay","DET","WR","$2,133,000"
"Dylan Cole","HOU","ILB","$2,133,000"
"Larry Ogunjobi","CLE","DT","$2,133,000"
"Chris Godwin","TB","WR","$2,133,000"
"Dan Feeney","LAC","G","$2,133,000"
"Rayshawn Jenkins","LAC","S","$2,133,000"
"Sam Tevi","LAC","RT","$2,133,000"
"Davon Godchaux","MIA","DT","$2,133,000"
"Vince Biegel","MIA","OLB","$2,133,000"
"Julie'n Davenport","MIA","LT","$2,133,000"
"Matt Haack","MIA","P","$2,133,000"
"Chase Roullier","WAS","C","$2,133,000"
"Deatrich Wise","NE","DE","$2,133,000"
"Matt Milano","BUF","OLB","$2,133,000"
"Jermaine Eluemunor","NE","G","$2,133,000"
"Fabian Moreau","WAS","CB","$2,133,000"
"Chris Wormley","PIT","DT","$2,133,000"
"Jeremy Sprinkle","WAS","TE","$2,133,000"
"David Sharpe","WAS","RT","$2,133,000"
"Dede Westbrook","JAC","WR","$2,133,000"
"Jamaal Williams","GB","RB","$2,133,000"
"Aaron Jones","GB","RB","$2,133,000"
"Shaquill Griffin","SEA","CB","$2,133,000"
"Christopher Carson","SEA","RB","$2,133,000"
"Carl Lawson","CIN","DE","$2,133,000"
"Cethan Carter","CIN","TE","$2,133,000"
"Brandon Wilson","CIN","CB","$2,133,000"
"John Johnson","LAR","FS","$2,133,000"
"Josh Reynolds","LAR","WR","$2,133,000"
"Samson Ebukam","LAR","OLB","$2,133,000"
"Jonnu Smith","TEN","TE","$2,133,000"
"Jayon Brown","TEN","ILB","$2,133,000"
"Damontae Kazee","ATL","SS","$2,133,000"
"Brian Hill","ATL","RB","$2,133,000"
"Jourdan Lewis","DAL","CB","$2,133,000"
"Xavier Woods","DAL","FS","$2,133,000"
"George Kittle","SF","TE","$2,133,000"
"Marlon Humphrey","BAL","CB","$2,080,566"
"Jonathan Allen","WAS","DT","$2,046,324"
"Adoree' Jackson","TEN","CB","$2,003,561"
"Rigoberto Sanchez","IND","P","$2,000,000"
"Drew Brees","NO","QB","$2,000,000"
"Robert Griffin III","BAL","QB","$2,000,000"
"Emmanuel Sanders","NO","WR","$2,000,000"
"A.J. McCarron","HOU","QB","$2,000,000"
"Alex Okafor","KC","DE","$2,000,000"
"Chris Harris","LAC","CB","$2,000,000"
"Leonard Fournette","TB","RB","$2,000,000"
"Brian Winters","BUF","G","$2,000,000"
"Za'Darius Smith","GB","OLB","$2,000,000"
"Rodney Gunter","JAC","DT","$2,000,000"
"Jordan Phillips","ARI","DT","$2,000,000"
"Shelby Harris","DEN","DE","$2,000,000"
"Andy Lee","ARI","P","$2,000,000"
"Carlos Dunlap","SEA","DE","$2,000,000"
"D.J. Reader","CIN","DT","$2,000,000"
"Tyler Higbee","LAR","TE","$2,000,000"
"Dante Fowler Jr.","ATL","DE","$2,000,000"
"Michael Brockers","LAR","DE","$2,000,000"
"Jason Kelce","PHI","C","$2,000,000"
"Stephen Gostkowski","TEN","K","$2,000,000"
"Jalen Mills","PHI","SS","$2,000,000"
"Matt Schaub","ATL","QB","$2,000,000"
"Sean Lee","DAL","OLB","$2,000,000"
"Chuck Clark","BAL","SS","$2,000,000"
"O.J. Howard","TB","TE","$1,977,903"
"Minkah Fitzpatrick","PIT","FS","$1,975,252"
"Ereck Flowers","MIA","G","$1,975,000"
"Garett Bolles","DEN","LT","$1,969,351"
"Jarrad Davis","DET","ILB","$1,960,798"
"Charles Harris","ATL","DE","$1,943,692"
"Evan Engram","NYG","TE","$1,926,587"
"Clelin Ferrell","LV","DE","$1,920,492"
"Nick Vigil","LAC","OLB","$1,900,000"
"Brett Kern","TEN","P","$1,900,000"
"DeMarcus Lawrence","DAL","DE","$1,900,000"
